,Survived
105,0
68,1
253,0
320,0
706,1
271,1
424,0
752,0
615,1
2,1
882,0
467,0
403,0
258,1
720,1
272,1
154,0
832,0
820,1
382,0
20,0
585,1
65,1
680,0
878,0
304,0
823,1
521,0
333,0
698,0
481,0
71,0
49,0
573,1
338,1
261,1
116,0
76,0
48,0
843,0
263,0
718,0
620,0
786,1
64,0
857,1
52,1
386,0
124,0
578,0
549,1
118,0
12,0
157,0
127,1
653,1
235,0
785,0
241,1
351,0
862,1
851,0
753,0
532,0
485,0
695,0
475,0
17,1
476,0
533,1
416,1
345,1
242,0
344,0
170,0
187,1
800,0
457,1
652,0
451,0
78,1
889,1
198,1
492,0
813,0
526,1
870,0
21,1
885,0
799,0
250,0
243,0
701,1
35,0
81,1
159,0
744,1
524,0
109,1
337,1
443,1
92,0
364,0
434,0
465,0
731,0
876,0
211,1
811,0
165,1
238,0
188,0
471,0
553,1
456,0
366,1
592,0
738,0
155,0
391,1
886,0
724,1
453,1
66,1
841,0
408,0
462,0
268,1
161,1
363,0
406,0
866,1
881,0
618,1
100,0
722,0
678,0
229,0
334,1
558,1
669,1
807,0
520,1
816,0
220,1
810,0
309,1
688,0
787,0
15,1
245,0
409,0
6,0
452,0
441,0
479,1
104,0
303,1
650,0
208,1
302,0
51,0
90,0
354,0
563,0
22,1
374,0
825,0
218,1
657,0
422,0
420,0
460,1
205,0
529,0
190,1
361,0
735,0
375,1
185,0
194,1
401,0
436,0
583,0
132,0
233,1
173,0
178,0
313,0
315,1
713,0
859,0
864,0
206,0
557,0
493,0
96,0
527,0
761,0
572,1
74,1
89,0
38,0
179,0
506,1
0,0
46,0
171,0
392,0
710,1
518,1
782,0
107,1
626,0
133,1
806,0
223,0
603,0
327,1
827,1
102,0
625,0
108,0
213,0
586,0
499,0
821,1
246,0
861,0
546,1
125,1
135,0
466,0
640,0
691,1
661,0
435,1
365,0
721,0
224,1
26,0
772,0
571,1
417,1
497,0
628,0
765,1
670,1
3,1
134,0
325,1
355,0
812,0
186,1
682,0
295,0
743,0
548,0
385,0
576,1
702,0
873,0
798,0
427,1
225,0
729,0
330,1
369,1
605,0
332,0
339,0
419,0
687,0
860,0
737,1
844,0
454,0
404,0
415,0
63,0
604,1
888,0
478,0
360,0
237,1
703,0
855,1
112,0
884,0
569,1
126,0
259,1
662,0
630,1
137,0
7,0
502,0
759,1
622,1
853,1
407,1
613,0
353,0
153,0
343,0
789,0
790,0
733,0
56,1
400,1
473,1
468,0
795,0
593,0
504,1
568,0
577,1
300,1
716,1
590,0
163,0
336,0
59,0
730,1
828,1
490,0
767,0
449,1
624,0
437,1
641,1
793,0
219,0
602,0
282,0
348,1
608,1
4,0
717,1
463,0
689,1
584,0
781,1
517,0
794,0
534,0
831,1
276,0
284,0
470,0
426,1
281,0
120,0
872,0
13,0
582,0
455,1
856,1
160,0
868,0
601,0
636,0
664,1
195,1
191,0
536,0
164,0
106,1
16,0
575,0
805,0
540,1
329,1
480,0
498,0
801,1
405,0
665,0
93,0
433,0
83,0
749,0
692,1
414,1
869,1
651,1
649,1
809,1
322,1
556,1
357,0
69,0
514,0
509,1
340,1
221,0
824,0
146,1
289,1
29,0
114,0
508,0
792,0
863,0
176,0
168,0
347,1
376,1
679,1
775,0
757,0
685,0
189,0
136,1
446,1
746,0
254,0
783,0
290,1
834,0
751,1
232,0
645,1
33,0
88,1
44,1
341,1
61,1
846,0
199,0
429,1
667,0
394,1
297,0
73,0
393,1
547,1
579,1
541,0
758,0
741,0
747,1
663,0
217,0
539,1
736,0
623,0
668,0
732,0
421,0
138,0
212,0
616,0
748,0
745,0
770,0
814,0
234,0
67,0
24,0
381,1
216,1
129,0
349,0
111,0
166,1
207,1
438,0
552,0
274,1
879,1
591,1
711,0
525,0
287,0
469,1
326,0
121,0
507,1
228,0
673,1
595,0
445,1
117,0
464,0
25,1
110,0
149,0
152,0
528,0
696,0
621,1
461,0
598,0
139,0
260,0
323,1
865,1
248,1
450,0
410,0
607,1
19,1
328,1
296,0
269,1
226,1
94,0
515,0
637,0
280,0
286,1
589,0
826,0
444,1
184,1
371,0
776,0
867,0
275,1
829,1
182,0
32,1
80,0
307,1
11,1
43,1
86,0
36,1
871,1
58,1
41,0
411,0
562,0
209,1
148,0
739,0
594,0
123,1
734,0
574,0
98,1
377,0
130,0
699,0
23,1
773,0
555,0
370,1
512,1
383,1
201,0
368,1
554,1
610,0
387,1
292,0
690,1
256,1
606,0
197,0
95,0
854,0
836,0
169,0
581,1
305,1
560,0
373,0
719,0
791,0
227,0
660,1
143,0
180,0
131,0
842,1
47,1
774,1
324,0
203,0
84,1
633,0
565,0
611,0
398,0
91,0
82,1
430,1
779,1
119,0
291,1
57,0
321,0
257,1
840,0
442,0
42,0
617,0
388,0
335,0
273,0
756,0
488,0
550,1
53,1
830,1
128,1
802,1
28,1
183,1
459,0
510,1
675,0
151,1
244,0
714,0
543,1
544,0
639,0
697,1
265,0
288,1
423,0
147,0
659,0
797,1
858,1
177,0
99,0
850,0
448,1
431,1
847,0
709,1
755,1
115,0
777,1
72,0
845,0
537,1
677,1
849,1
874,1
174,0
87,0
551,0
486,1
705,0
314,0
396,0
600,1
472,1
70,0
599,1
804,1
754,1
277,0
723,0
9,1
359,1
707,1
763,1
835,1
192,1
629,0
559,1
684,0
